image,class,confidence,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,propeller,0.8502,123.4,370.4,189.8,464.1
marine_marine-debris-aris3k-1018.png,shampoo-bottle,0.8754,181.5,296.5,240.2,491.9
marine_marine-debris-aris3k-1043.png,can,0.9057,169.5,293.0,265.2,396.9
marine_marine-debris-aris3k-1046.png,can,0.8963,124.8,242.0,201.9,310.3
marine_marine-debris-aris3k-1052.png,can,0.9076,217.3,125.7,297.1,193.2
marine_marine-debris-aris3k-1056.png,bottle,0.9159,141.7,254.1,220.4,341.1
marine_marine-debris-aris3k-1056.png,tire,0.9094,151.6,394.8,225.2,493.5
marine_marine-debris-aris3k-1077.png,drink-carton,0.9102,322.1,385.1,386.3,444.3
marine_marine-debris-aris3k-1081.png,chain,0.9154,311.0,220.4,370.6,282.2
marine_marine-debris-aris3k-1081.png,drink-carton,0.8489,153.5,383.5,223.9,458.5
marine_marine-debris-aris3k-1084.png,bottle,0.8762,197.3,158.1,276.8,240.8
marine_marine-debris-aris3k-1119.png,standing-bottle,0.8671,179.0,270.0,220.3,459.9
marine_marine-debris-aris3k-1125.png,bottle,0.9,124.6,408.6,188.5,511.0
marine_marine-debris-aris3k-1125.png,bottle,0.8745,183.5,214.3,232.1,305.0
marine_marine-debris-aris3k-1129.png,can,0.8961,162.4,444.6,213.1,509.4
marine_marine-debris-aris3k-1142.png,can,0.887,182.0,445.6,235.8,511.8
marine_marine-debris-aris3k-1144.png,drink-carton,0.8112,243.4,340.6,280.4,382.8
marine_marine-debris-aris3k-1158.png,drink-carton,0.8716,193.1,276.4,238.7,329.3
marine_marine-debris-aris3k-1165.png,drink-carton,0.869,176.0,303.2,220.8,354.8
marine_marine-debris-aris3k-1168.png,can,0.8866,114.4,478.0,165.7,529.2
marine_marine-debris-aris3k-117.png,can,0.8977,208.6,187.3,291.1,269.1
marine_marine-debris-aris3k-1176.png,tire,0.8901,104.6,412.3,175.4,498.4
marine_marine-debris-aris3k-1176.png,valve,0.8753,204.5,146.1,297.2,243.8
marine_marine-debris-aris3k-1176.png,bottle,0.8725,76.5,268.1,143.6,359.4
marine_marine-debris-aris3k-1183.png,drink-carton,0.5272,266.3,317.4,329.5,394.6
marine_marine-debris-aris3k-1186.png,can,0.8871,191.8,453.8,244.8,522.0
marine_marine-debris-aris3k-12.png,hook,0.9076,103.2,290.2,254.0,384.3
marine_marine-debris-aris3k-1202.png,can,0.9011,220.7,245.2,304.9,324.2
marine_marine-debris-aris3k-1208.png,chain,0.9235,337.5,200.9,397.0,261.7
marine_marine-debris-aris3k-1208.png,drink-carton,0.8639,182.3,359.2,244.5,419.2
marine_marine-debris-aris3k-1227.png,tire,0.913,126.6,340.5,200.3,425.4
marine_marine-debris-aris3k-1227.png,bottle,0.9002,145.2,204.1,228.7,285.4
marine_marine-debris-aris3k-1252.png,valve,0.9091,220.9,233.2,306.9,323.7
marine_marine-debris-aris3k-1254.png,bottle,0.9059,129.1,406.3,193.5,506.1
marine_marine-debris-aris3k-1254.png,bottle,0.8797,192.4,215.0,242.0,306.3
marine_marine-debris-aris3k-1260.png,drink-carton,0.8256,238.2,254.2,300.0,332.4
marine_marine-debris-aris3k-128.png,chain,0.9393,283.8,461.9,356.7,536.0
marine_marine-debris-aris3k-1284.png,tire,0.925,120.1,346.5,194.8,434.5
marine_marine-debris-aris3k-1284.png,bottle,0.9232,138.3,212.8,222.9,290.6
marine_marine-debris-aris3k-1291.png,chain,0.893,127.7,330.3,285.8,391.8
marine_marine-debris-aris3k-1292.png,bottle,0.8908,198.6,155.3,280.6,237.3
marine_marine-debris-aris3k-1298.png,drink-carton,0.8707,177.9,296.4,221.4,348.4
marine_marine-debris-aris3k-1299.png,tire,0.9157,123.1,340.1,195.6,426.5
marine_marine-debris-aris3k-1299.png,bottle,0.9143,140.6,203.8,225.2,286.4
marine_marine-debris-aris3k-1312.png,drink-carton,0.8609,159.6,296.9,201.4,347.1
marine_marine-debris-aris3k-1351.png,tire,0.9241,121.4,345.3,195.1,431.3
marine_marine-debris-aris3k-1351.png,bottle,0.9237,141.0,213.1,224.6,292.0
marine_marine-debris-aris3k-1364.png,can,0.9036,128.1,247.4,204.5,313.5
marine_marine-debris-aris3k-1384.png,valve,0.889,229.7,226.8,311.7,313.7
marine_marine-debris-aris3k-1387.png,drink-carton,0.8715,176.5,301.7,220.9,353.7
marine_marine-debris-aris3k-139.png,bottle,0.9005,227.6,212.2,310.8,291.8
marine_marine-debris-aris3k-139.png,tire,0.8731,195.7,354.6,273.4,435.9
marine_marine-debris-aris3k-1394.png,tire,0.9248,232.1,352.1,357.9,474.3
marine_marine-debris-aris3k-1394.png,hook,0.8998,172.0,198.9,317.5,305.0
marine_marine-debris-aris3k-140.png,tire,0.9234,126.9,345.5,202.8,433.3
