image,object,precision,recall,map50,map50_95,inference_time_ms,fps
marine_marine-debris-aris3k-1009.png,propeller,0.9694,1.0,0.995,0.734,99.81,10.02
marine_marine-debris-aris3k-1018.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,14.29,69.96
marine_marine-debris-aris3k-1043.png,can,1.0,0.9803,0.995,0.8382,66.85,14.96
marine_marine-debris-aris3k-1046.png,can,1.0,0.9803,0.995,0.8382,14.74,67.84
marine_marine-debris-aris3k-1052.png,can,1.0,0.9803,0.995,0.8382,16.19,61.77
marine_marine-debris-aris3k-1056.png,bottle,0.995,1.0,0.995,0.8172,17.58,56.87
marine_marine-debris-aris3k-1056.png,tire,1.0,0.9799,0.995,0.8241,17.58,56.87
marine_marine-debris-aris3k-1077.png,drink-carton,1.0,0.9652,0.995,0.7008,17.96,55.68
marine_marine-debris-aris3k-1081.png,chain,0.9801,0.7895,0.9215,0.6288,16.74,59.74
marine_marine-debris-aris3k-1081.png,drink-carton,1.0,0.9652,0.995,0.7008,16.74,59.74
marine_marine-debris-aris3k-1084.png,bottle,0.995,1.0,0.995,0.8172,17.07,58.58
marine_marine-debris-aris3k-110.png,none,N/A,N/A,N/A,N/A,16.08,62.18
marine_marine-debris-aris3k-1114.png,none,N/A,N/A,N/A,N/A,16.49,60.64
marine_marine-debris-aris3k-1119.png,standing-bottle,0.9501,1.0,0.995,0.858,14.82,67.5
marine_marine-debris-aris3k-1125.png,bottle,0.995,1.0,0.995,0.8172,15.98,62.58
marine_marine-debris-aris3k-1125.png,bottle,0.995,1.0,0.995,0.8172,15.98,62.58
marine_marine-debris-aris3k-1129.png,can,1.0,0.9803,0.995,0.8382,16.22,61.65
marine_marine-debris-aris3k-1142.png,can,1.0,0.9803,0.995,0.8382,14.56,68.67
marine_marine-debris-aris3k-1144.png,drink-carton,1.0,0.9652,0.995,0.7008,15.59,64.15
marine_marine-debris-aris3k-1158.png,drink-carton,1.0,0.9652,0.995,0.7008,16.29,61.4
marine_marine-debris-aris3k-1165.png,drink-carton,1.0,0.9652,0.995,0.7008,16.13,62.01
marine_marine-debris-aris3k-1168.png,can,1.0,0.9803,0.995,0.8382,14.24,70.22
marine_marine-debris-aris3k-117.png,can,1.0,0.9803,0.995,0.8382,17.05,58.64
marine_marine-debris-aris3k-1176.png,tire,1.0,0.9799,0.995,0.8241,17.09,58.52
marine_marine-debris-aris3k-1176.png,valve,1.0,0.9915,0.995,0.7755,17.09,58.52
marine_marine-debris-aris3k-1176.png,bottle,0.995,1.0,0.995,0.8172,17.09,58.52
marine_marine-debris-aris3k-1183.png,drink-carton,1.0,0.9652,0.995,0.7008,17.09,58.52
marine_marine-debris-aris3k-1186.png,can,1.0,0.9803,0.995,0.8382,15.8,63.28
marine_marine-debris-aris3k-12.png,hook,1.0,1.0,0.995,0.8723,18.3,54.63
marine_marine-debris-aris3k-1202.png,can,1.0,0.9803,0.995,0.8382,15.12,66.15
marine_marine-debris-aris3k-1208.png,chain,0.9801,0.7895,0.9215,0.6288,15.9,62.9
marine_marine-debris-aris3k-1208.png,drink-carton,1.0,0.9652,0.995,0.7008,15.9,62.9
marine_marine-debris-aris3k-1227.png,tire,1.0,0.9799,0.995,0.8241,17.01,58.8
marine_marine-debris-aris3k-1227.png,bottle,0.995,1.0,0.995,0.8172,17.01,58.8
marine_marine-debris-aris3k-1252.png,valve,1.0,0.9915,0.995,0.7755,14.27,70.07
marine_marine-debris-aris3k-1254.png,bottle,0.995,1.0,0.995,0.8172,14.68,68.13
marine_marine-debris-aris3k-1254.png,bottle,0.995,1.0,0.995,0.8172,14.68,68.13
marine_marine-debris-aris3k-1260.png,drink-carton,1.0,0.9652,0.995,0.7008,15.97,62.61
marine_marine-debris-aris3k-128.png,chain,0.9801,0.7895,0.9215,0.6288,14.72,67.93
marine_marine-debris-aris3k-1284.png,tire,1.0,0.9799,0.995,0.8241,15.74,63.55
marine_marine-debris-aris3k-1284.png,bottle,0.995,1.0,0.995,0.8172,15.74,63.55
marine_marine-debris-aris3k-1291.png,chain,0.9801,0.7895,0.9215,0.6288,16.98,58.89
marine_marine-debris-aris3k-1292.png,bottle,0.995,1.0,0.995,0.8172,16.24,61.59
marine_marine-debris-aris3k-1298.png,drink-carton,1.0,0.9652,0.995,0.7008,16.72,59.8
marine_marine-debris-aris3k-1299.png,tire,1.0,0.9799,0.995,0.8241,15.67,63.81
marine_marine-debris-aris3k-1299.png,bottle,0.995,1.0,0.995,0.8172,15.67,63.81
marine_marine-debris-aris3k-1312.png,drink-carton,1.0,0.9652,0.995,0.7008,14.56,68.7
marine_marine-debris-aris3k-1351.png,tire,1.0,0.9799,0.995,0.8241,19.85,50.38
marine_marine-debris-aris3k-1351.png,bottle,0.995,1.0,0.995,0.8172,19.85,50.38
marine_marine-debris-aris3k-1364.png,can,1.0,0.9803,0.995,0.8382,15.89,62.94
marine_marine-debris-aris3k-1384.png,valve,1.0,0.9915,0.995,0.7755,14.56,68.68
marine_marine-debris-aris3k-1387.png,drink-carton,1.0,0.9652,0.995,0.7008,14.38,69.54
marine_marine-debris-aris3k-139.png,bottle,0.995,1.0,0.995,0.8172,14.09,70.98
marine_marine-debris-aris3k-139.png,tire,1.0,0.9799,0.995,0.8241,14.09,70.98
marine_marine-debris-aris3k-1394.png,tire,1.0,0.9799,0.995,0.8241,16.09,62.16
marine_marine-debris-aris3k-1394.png,hook,1.0,1.0,0.995,0.8723,16.09,62.16
marine_marine-debris-aris3k-140.png,tire,1.0,0.9799,0.995,0.8241,15.33,65.23
marine_marine-debris-aris3k-140.png,bottle,0.995,1.0,0.995,0.8172,15.33,65.23
marine_marine-debris-aris3k-1401.png,drink-carton,1.0,0.9652,0.995,0.7008,15.06,66.4
marine_marine-debris-aris3k-1403.png,bottle,0.995,1.0,0.995,0.8172,15.82,63.22
marine_marine-debris-aris3k-1403.png,tire,1.0,0.9799,0.995,0.8241,15.82,63.22
marine_marine-debris-aris3k-1409.png,can,1.0,0.9803,0.995,0.8382,15.98,62.57
marine_marine-debris-aris3k-1417.png,bottle,0.995,1.0,0.995,0.8172,15.11,66.17
marine_marine-debris-aris3k-142.png,valve,1.0,0.9915,0.995,0.7755,14.3,69.95
marine_marine-debris-aris3k-1426.png,bottle,0.995,1.0,0.995,0.8172,14.31,69.88
marine_marine-debris-aris3k-1426.png,valve,1.0,0.9915,0.995,0.7755,14.31,69.88
marine_marine-debris-aris3k-1449.png,drink-carton,1.0,0.9652,0.995,0.7008,14.59,68.54
marine_marine-debris-aris3k-1452.png,bottle,0.995,1.0,0.995,0.8172,13.54,73.84
