image,class,confidence,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,propeller,0.9027,120.4,367.5,189.4,465.5
marine_marine-debris-aris3k-1018.png,shampoo-bottle,0.9241,181.4,300.3,238.0,488.2
marine_marine-debris-aris3k-1043.png,can,0.9212,169.3,294.9,262.8,400.5
marine_marine-debris-aris3k-1046.png,can,0.9209,125.9,243.1,204.8,312.1
marine_marine-debris-aris3k-1052.png,can,0.9166,217.2,127.6,296.9,194.9
marine_marine-debris-aris3k-1056.png,tire,0.9262,151.6,395.4,224.7,493.4
marine_marine-debris-aris3k-1056.png,bottle,0.9047,142.8,250.9,220.3,342.9
marine_marine-debris-aris3k-1077.png,drink-carton,0.8687,323.6,386.7,387.9,447.7
marine_marine-debris-aris3k-1081.png,drink-carton,0.9267,154.2,387.1,220.0,456.8
marine_marine-debris-aris3k-1081.png,chain,0.8834,308.0,216.6,369.3,280.7
marine_marine-debris-aris3k-1081.png,chain,0.2574,296.5,202.1,355.7,260.0
marine_marine-debris-aris3k-1084.png,bottle,0.9528,195.8,160.8,276.3,242.3
marine_marine-debris-aris3k-110.png,drink-carton,0.8245,181.0,418.5,248.9,485.1
marine_marine-debris-aris3k-110.png,chain,0.7918,294.8,202.4,358.9,263.8
marine_marine-debris-aris3k-1114.png,chain,0.3578,368.8,252.6,413.7,312.4
marine_marine-debris-aris3k-1114.png,chain,0.2561,206.7,116.1,269.1,177.9
marine_marine-debris-aris3k-1119.png,standing-bottle,0.8845,175.4,271.6,220.3,460.1
marine_marine-debris-aris3k-1125.png,bottle,0.9234,123.2,407.0,189.4,510.7
marine_marine-debris-aris3k-1125.png,bottle,0.9126,181.7,213.7,232.0,303.9
marine_marine-debris-aris3k-1129.png,can,0.907,161.1,442.5,214.0,509.9
marine_marine-debris-aris3k-1142.png,can,0.9178,184.1,446.0,236.2,511.6
marine_marine-debris-aris3k-1144.png,drink-carton,0.9063,240.3,339.9,278.7,384.0
marine_marine-debris-aris3k-1158.png,drink-carton,0.9069,194.5,277.5,238.7,330.4
marine_marine-debris-aris3k-1165.png,drink-carton,0.9081,174.3,302.7,219.0,355.6
marine_marine-debris-aris3k-1168.png,can,0.9404,114.0,478.8,166.6,530.3
marine_marine-debris-aris3k-117.png,can,0.9098,207.3,187.5,290.6,270.5
marine_marine-debris-aris3k-1176.png,tire,0.9229,104.1,407.4,173.8,497.1
marine_marine-debris-aris3k-1176.png,valve,0.9186,205.5,144.0,297.9,240.6
marine_marine-debris-aris3k-1176.png,bottle,0.8803,75.0,267.0,143.8,359.0
marine_marine-debris-aris3k-1183.png,drink-carton,0.8536,267.3,316.1,327.5,390.5
marine_marine-debris-aris3k-1186.png,can,0.9046,191.2,453.1,244.7,520.3
marine_marine-debris-aris3k-12.png,hook,0.9308,102.6,290.9,251.8,383.4
marine_marine-debris-aris3k-1202.png,can,0.9171,221.5,233.3,305.8,318.0
marine_marine-debris-aris3k-1208.png,chain,0.9288,337.2,200.3,397.0,262.8
marine_marine-debris-aris3k-1208.png,drink-carton,0.9006,184.2,359.9,243.6,419.2
marine_marine-debris-aris3k-1227.png,tire,0.9364,126.7,338.1,201.8,428.1
marine_marine-debris-aris3k-1227.png,bottle,0.9137,146.8,198.4,229.7,286.0
marine_marine-debris-aris3k-1252.png,valve,0.9333,221.5,232.6,306.7,324.9
marine_marine-debris-aris3k-1254.png,bottle,0.8938,130.8,406.2,193.1,510.1
marine_marine-debris-aris3k-1254.png,bottle,0.8846,190.7,213.0,240.5,305.8
marine_marine-debris-aris3k-1260.png,drink-carton,0.8812,240.4,258.1,297.9,329.8
marine_marine-debris-aris3k-128.png,chain,0.9122,285.6,461.9,360.5,536.7
marine_marine-debris-aris3k-1284.png,tire,0.9264,119.7,346.4,194.7,435.2
marine_marine-debris-aris3k-1284.png,bottle,0.9127,141.5,212.9,225.6,290.3
marine_marine-debris-aris3k-1291.png,chain,0.9383,129.2,329.6,284.9,390.3
marine_marine-debris-aris3k-1292.png,bottle,0.9237,197.7,155.9,281.8,238.6
marine_marine-debris-aris3k-1298.png,drink-carton,0.8863,177.1,295.0,221.8,347.6
marine_marine-debris-aris3k-1299.png,tire,0.9334,122.0,338.7,196.3,428.5
marine_marine-debris-aris3k-1299.png,bottle,0.9106,144.4,200.9,228.9,285.9
marine_marine-debris-aris3k-1312.png,drink-carton,0.88,157.5,296.8,200.2,348.3
marine_marine-debris-aris3k-1351.png,tire,0.9281,120.3,344.2,195.7,433.1
marine_marine-debris-aris3k-1351.png,bottle,0.9162,141.0,209.6,224.5,291.0
marine_marine-debris-aris3k-1364.png,can,0.9117,128.5,246.5,205.7,313.6
marine_marine-debris-aris3k-1384.png,valve,0.9349,234.2,227.5,312.1,312.8
marine_marine-debris-aris3k-1387.png,drink-carton,0.9078,175.9,302.1,220.5,354.8
marine_marine-debris-aris3k-139.png,bottle,0.9306,228.0,210.8,311.5,292.9
marine_marine-debris-aris3k-139.png,tire,0.8972,206.1,354.5,276.6,436.5
marine_marine-debris-aris3k-1394.png,hook,0.9294,173.4,196.9,316.5,301.5
marine_marine-debris-aris3k-1394.png,tire,0.9206,233.9,351.7,356.6,472.1
marine_marine-debris-aris3k-140.png,tire,0.9383,126.5,343.5,201.9,433.8
marine_marine-debris-aris3k-140.png,bottle,0.9308,146.0,211.6,229.8,291.8
marine_marine-debris-aris3k-1401.png,drink-carton,0.8054,117.9,428.2,160.5,469.4
marine_marine-debris-aris3k-1401.png,chain,0.3123,322.7,301.1,378.2,386.6
marine_marine-debris-aris3k-1403.png,tire,0.9243,147.5,374.5,221.6,457.4
marine_marine-debris-aris3k-1403.png,bottle,0.9122,174.7,239.9,257.7,319.1
marine_marine-debris-aris3k-1409.png,can,0.9052,234.2,278.7,320.8,363.3
marine_marine-debris-aris3k-1417.png,bottle,0.9094,206.6,208.9,288.8,292.9
marine_marine-debris-aris3k-142.png,valve,0.9286,113.1,202.0,190.9,294.2
marine_marine-debris-aris3k-1426.png,valve,0.9019,217.9,317.7,298.2,413.8
marine_marine-debris-aris3k-1426.png,bottle,0.8824,82.2,194.8,131.2,289.1
marine_marine-debris-aris3k-1449.png,drink-carton,0.864,151.3,295.8,195.2,347.9
marine_marine-debris-aris3k-1452.png,bottle,0.9143,118.6,407.6,184.0,511.7
marine_marine-debris-aris3k-1452.png,bottle,0.895,175.3,211.9,225.3,307.0
marine_marine-debris-aris3k-1460.png,drink-carton,0.8,116.7,425.6,158.7,464.9
marine_marine-debris-aris3k-1460.png,chain,0.5378,323.6,303.7,378.5,387.6
marine_marine-debris-aris3k-1482.png,shampoo-bottle,0.8848,231.3,172.2,291.6,435.7
marine_marine-debris-aris3k-1485.png,can,0.9231,203.1,151.5,284.3,218.4
marine_marine-debris-aris3k-1486.png,drink-carton,0.9037,182.9,297.0,227.8,348.9
marine_marine-debris-aris3k-149.png,chain,0.9041,131.4,302.3,289.9,364.1
marine_marine-debris-aris3k-1491.png,valve,0.9272,213.1,222.8,296.8,313.3
marine_marine-debris-aris3k-1495.png,valve,0.9151,205.1,246.5,292.3,341.9
marine_marine-debris-aris3k-1504.png,drink-carton,0.948,317.8,388.5,379.8,447.8
marine_marine-debris-aris3k-151.png,bottle,0.9114,126.6,198.1,175.7,288.7
marine_marine-debris-aris3k-151.png,bottle,0.85,100.7,389.6,156.8,494.3
marine_marine-debris-aris3k-1530.png,drink-carton,0.8643,153.4,278.5,197.7,332.3
marine_marine-debris-aris3k-1538.png,bottle,0.9345,201.4,209.7,284.0,293.6
marine_marine-debris-aris3k-1578.png,standing-bottle,0.9064,204.0,258.0,246.0,453.2
marine_marine-debris-aris3k-158.png,drink-carton,0.9084,165.3,302.1,208.5,352.5
marine_marine-debris-aris3k-1596.png,bottle,0.9001,186.2,164.9,265.4,241.6
marine_marine-debris-aris3k-1618.png,drink-carton,0.8531,164.6,329.2,203.5,377.3
marine_marine-debris-aris3k-1624.png,propeller,0.935,221.8,283.7,348.3,410.9
marine_marine-debris-aris3k-1624.png,hook,0.8812,119.5,91.6,205.8,186.9
marine_marine-debris-aris3k-1631.png,drink-carton,0.8779,163.4,296.6,207.3,348.8
marine_marine-debris-aris3k-1652.png,chain,0.9605,125.6,298.8,287.6,361.9
marine_marine-debris-aris3k-166.png,drink-carton,0.939,100.8,257.8,173.5,340.7
marine_marine-debris-aris3k-166.png,chain,0.9169,351.4,221.4,408.8,284.7
marine_marine-debris-aris3k-1664.png,can,0.9274,178.0,457.4,230.8,524.8
marine_marine-debris-aris3k-1665.png,can,0.8952,147.2,451.6,199.6,515.3
marine_marine-debris-aris3k-1670.png,can,0.9589,114.0,478.6,167.3,529.9
marine_marine-debris-aris3k-1680.png,propeller,0.9199,245.1,283.2,362.4,398.5
marine_marine-debris-aris3k-1680.png,hook,0.9194,133.8,80.5,219.5,182.0
marine_marine-debris-aris3k-1696.png,can,0.9228,151.9,251.1,248.2,359.5
marine_marine-debris-aris3k-1698.png,can,0.9108,199.5,160.8,285.2,245.3
marine_marine-debris-aris3k-1699.png,drink-carton,0.9046,169.6,210.0,229.0,284.3
marine_marine-debris-aris3k-1700.png,drink-carton,0.9221,182.0,295.7,226.9,348.5
marine_marine-debris-aris3k-1707.png,drink-carton,0.8842,239.8,338.7,278.4,384.1
marine_marine-debris-aris3k-1727.png,chain,0.9672,130.2,320.1,365.0,460.2
marine_marine-debris-aris3k-1733.png,tire,0.9283,119.9,345.9,195.0,435.2
marine_marine-debris-aris3k-1733.png,bottle,0.9108,141.5,212.9,225.8,290.7
marine_marine-debris-aris3k-1737.png,can,0.915,147.4,450.9,201.2,516.4
marine_marine-debris-aris3k-1771.png,can,0.8404,105.1,448.1,150.8,494.3
marine_marine-debris-aris3k-1776.png,can,0.9103,221.0,118.0,302.3,184.2
marine_marine-debris-aris3k-1777.png,can,0.9219,224.2,242.1,308.9,325.5
