image,object,precision,recall,map50,map50_95,inference_time_ms,fps
marine_marine-debris-aris3k-1009.png,propeller,0.972,1.0,0.995,0.723,86.48,11.56
marine_marine-debris-aris3k-1018.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,12.01,83.28
marine_marine-debris-aris3k-1043.png,can,0.9957,1.0,0.995,0.8394,63.82,15.67
marine_marine-debris-aris3k-1046.png,can,0.9957,1.0,0.995,0.8394,12.08,82.8
marine_marine-debris-aris3k-1052.png,can,0.9957,1.0,0.995,0.8394,14.45,69.22
marine_marine-debris-aris3k-1056.png,tire,1.0,0.9849,0.995,0.8392,12.78,78.22
marine_marine-debris-aris3k-1056.png,bottle,0.9964,1.0,0.995,0.8169,12.78,78.22
marine_marine-debris-aris3k-1077.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.84,77.86
marine_marine-debris-aris3k-1081.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.43,80.46
marine_marine-debris-aris3k-1081.png,chain,0.8907,0.8947,0.9656,0.6124,12.43,80.46
marine_marine-debris-aris3k-1081.png,chain,0.8907,0.8947,0.9656,0.6124,12.43,80.46
marine_marine-debris-aris3k-1084.png,bottle,0.9964,1.0,0.995,0.8169,12.9,77.52
marine_marine-debris-aris3k-110.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.61,79.28
marine_marine-debris-aris3k-110.png,chain,0.8907,0.8947,0.9656,0.6124,12.61,79.28
marine_marine-debris-aris3k-1114.png,chain,0.8907,0.8947,0.9656,0.6124,16.4,60.96
marine_marine-debris-aris3k-1114.png,chain,0.8907,0.8947,0.9656,0.6124,16.4,60.96
marine_marine-debris-aris3k-1119.png,standing-bottle,0.96,1.0,0.995,0.9325,13.17,75.93
marine_marine-debris-aris3k-1125.png,bottle,0.9964,1.0,0.995,0.8169,12.42,80.54
marine_marine-debris-aris3k-1125.png,bottle,0.9964,1.0,0.995,0.8169,12.42,80.54
marine_marine-debris-aris3k-1129.png,can,0.9957,1.0,0.995,0.8394,12.35,80.96
marine_marine-debris-aris3k-1142.png,can,0.9957,1.0,0.995,0.8394,12.65,79.06
marine_marine-debris-aris3k-1144.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.86,77.75
marine_marine-debris-aris3k-1158.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.2,75.78
marine_marine-debris-aris3k-1165.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.99,66.7
marine_marine-debris-aris3k-1168.png,can,0.9957,1.0,0.995,0.8394,14.33,69.79
marine_marine-debris-aris3k-117.png,can,0.9957,1.0,0.995,0.8394,14.96,66.83
marine_marine-debris-aris3k-1176.png,tire,1.0,0.9849,0.995,0.8392,13.75,72.71
marine_marine-debris-aris3k-1176.png,valve,0.9934,1.0,0.995,0.7807,13.75,72.71
marine_marine-debris-aris3k-1176.png,bottle,0.9964,1.0,0.995,0.8169,13.75,72.71
marine_marine-debris-aris3k-1183.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.4,69.45
marine_marine-debris-aris3k-1186.png,can,0.9957,1.0,0.995,0.8394,12.92,77.43
marine_marine-debris-aris3k-12.png,hook,0.9842,1.0,0.995,0.8974,13.39,74.68
marine_marine-debris-aris3k-1202.png,can,0.9957,1.0,0.995,0.8394,14.4,69.46
marine_marine-debris-aris3k-1208.png,chain,0.8907,0.8947,0.9656,0.6124,14.67,68.16
