image,class,confidence,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,propeller,0.9151,119.8,368.7,186.9,467.3
marine_marine-debris-aris3k-1018.png,shampoo-bottle,0.9161,180.3,299.9,242.8,490.0
marine_marine-debris-aris3k-1043.png,can,0.9094,168.4,294.2,263.5,397.6
marine_marine-debris-aris3k-1046.png,can,0.9098,125.4,243.0,203.0,310.7
marine_marine-debris-aris3k-1052.png,can,0.9191,216.7,126.9,297.2,194.4
marine_marine-debris-aris3k-1056.png,bottle,0.908,141.4,250.0,220.4,342.4
marine_marine-debris-aris3k-1056.png,tire,0.906,151.5,397.7,225.5,495.7
marine_marine-debris-aris3k-1077.png,drink-carton,0.9086,321.6,385.1,384.2,445.9
marine_marine-debris-aris3k-1081.png,drink-carton,0.8953,154.7,387.5,221.5,458.1
marine_marine-debris-aris3k-1081.png,chain,0.8945,307.4,218.3,370.0,285.0
marine_marine-debris-aris3k-1084.png,bottle,0.9153,194.8,156.6,276.7,240.1
marine_marine-debris-aris3k-110.png,chain,0.7735,292.5,198.9,359.6,266.1
marine_marine-debris-aris3k-1114.png,chain,0.8211,208.7,112.8,271.3,173.9
marine_marine-debris-aris3k-1119.png,standing-bottle,0.8614,177.0,273.2,219.8,458.8
marine_marine-debris-aris3k-1125.png,bottle,0.9082,120.1,408.1,187.8,514.0
marine_marine-debris-aris3k-1125.png,bottle,0.8954,182.6,215.6,233.3,304.5
marine_marine-debris-aris3k-1129.png,can,0.9054,160.2,442.5,213.6,509.4
marine_marine-debris-aris3k-1142.png,can,0.8945,183.6,445.4,237.9,512.6
marine_marine-debris-aris3k-1144.png,drink-carton,0.8289,246.3,342.4,281.2,381.5
marine_marine-debris-aris3k-1158.png,drink-carton,0.8591,194.1,277.7,238.3,330.5
marine_marine-debris-aris3k-1165.png,drink-carton,0.898,177.2,303.9,219.7,354.1
marine_marine-debris-aris3k-1168.png,can,0.8999,114.6,476.7,166.9,530.1
marine_marine-debris-aris3k-117.png,can,0.9179,208.4,183.9,291.8,268.2
marine_marine-debris-aris3k-1176.png,valve,0.9032,202.3,144.1,296.9,237.9
marine_marine-debris-aris3k-1176.png,tire,0.8997,103.2,410.6,173.1,496.1
marine_marine-debris-aris3k-1176.png,bottle,0.8987,75.0,266.4,141.6,360.7
marine_marine-debris-aris3k-1183.png,drink-carton,0.8938,266.3,316.7,330.6,391.7
marine_marine-debris-aris3k-1186.png,can,0.8878,190.6,450.5,245.2,520.0
marine_marine-debris-aris3k-12.png,hook,0.9031,101.4,283.2,253.2,387.3
marine_marine-debris-aris3k-1202.png,can,0.9095,221.3,232.8,306.3,316.8
marine_marine-debris-aris3k-1208.png,drink-carton,0.8802,182.5,365.8,244.0,420.1
marine_marine-debris-aris3k-1208.png,chain,0.8766,337.0,200.7,395.8,263.3
marine_marine-debris-aris3k-1227.png,bottle,0.9165,145.8,203.3,228.9,285.5
marine_marine-debris-aris3k-1227.png,tire,0.9053,127.9,340.5,201.5,427.9
marine_marine-debris-aris3k-1252.png,valve,0.9033,222.7,234.1,305.4,326.7
