class_id,class_name,yolov11_n_iou,yolov11_n_dice,yolov11_n_precision,yolov11_n_recall,yolov11_s_iou,yolov11_s_dice,yolov11_s_precision,yolov11_s_recall,yolov11_m_iou,yolov11_m_dice,yolov11_m_precision,yolov11_m_recall
0,mine,0.5785,0.7329,0.5789,0.9986,0.5112,0.6765,0.5114,0.999,0.5746,0.7299,0.5815,0.98
1,can,0.667,0.8002,0.7099,0.9169,0.673,0.8045,0.7119,0.9248,0.6292,0.7724,0.6874,0.8813
2,bottle,0.3926,0.5639,0.4928,0.659,0.419,0.5905,0.5105,0.7004,0.3793,0.55,0.4795,0.6448
3,drink-carton,0.7131,0.8325,0.7431,0.9464,0.6949,0.82,0.7269,0.9405,0.7035,0.826,0.7335,0.9451
4,chain,0.719,0.8365,0.8521,0.8215,0.6437,0.7833,0.7691,0.798,0.7391,0.85,0.8155,0.8875
5,propeller,0.5882,0.7407,0.6451,0.8698,0.5902,0.7423,0.6485,0.8677,0.6289,0.7722,0.6983,0.8636
6,tire,0.289,0.4484,0.3967,0.5156,0.2899,0.4495,0.3864,0.5374,0.2989,0.4603,0.4158,0.5155
7,hook,0.8328,0.9088,0.958,0.8643,0.8309,0.9076,0.9561,0.8638,0.8324,0.9085,0.9558,0.8657
8,valve,0.214,0.3525,0.2345,0.71,0.2276,0.3708,0.2476,0.738,0.2394,0.3863,0.2614,0.7397
9,shampoo-bottle,0.4977,0.6646,0.5346,0.8782,0.5011,0.6677,0.5263,0.9128,0.4667,0.6364,0.5027,0.867
10,standing-bottle,0.0559,0.1059,0.074,0.1866,0.0695,0.13,0.0942,0.2092,0.0809,0.1497,0.1124,0.2239
