class_id,class_name,TP,FP,FN,TN,iou,dice,precision,recall,accuracy
0,mine,11461,8250,234,58363911,0.5746,0.7299,0.5815,0.98,0.9999
1,can,71241,32393,9598,58270624,0.6292,0.7724,0.6874,0.8813,0.9993
2,bottle,66117,71761,36422,58209556,0.3793,0.55,0.4795,0.6448,0.9981
3,drink-carton,58965,21425,3426,58300040,0.7035,0.826,0.7335,0.9451,0.9996
4,chain,42937,9715,5441,58325763,0.7391,0.85,0.8155,0.8875,0.9997
5,propeller,33209,14351,5244,58331052,0.6289,0.7722,0.6983,0.8636,0.9997
6,tire,66719,93747,62715,58160675,0.2989,0.4603,0.4158,0.5155,0.9973
7,hook,78197,3615,12131,58289913,0.8324,0.9085,0.9558,0.8657,0.9997
8,valve,27875,78748,9810,58267423,0.2394,0.3863,0.2614,0.7397,0.9985
9,shampoo-bottle,34972,34600,5365,58308919,0.4667,0.6364,0.5027,0.867,0.9993
10,standing-bottle,1796,14184,6225,58361651,0.0809,0.1497,0.1124,0.2239,0.9997
