class_id,class_name,TP,FP,FN,TN,iou,dice,precision,recall,accuracy
0,mine,11523,8381,16,58363936,0.5785,0.7329,0.5789,0.9986,0.9999
1,can,78121,31929,7077,58266729,0.667,0.8002,0.7099,0.9169,0.9993
2,bottle,68242,70247,35312,58210055,0.3926,0.5639,0.4928,0.659,0.9982
3,drink-carton,62779,21699,3555,58295823,0.7131,0.8325,0.7431,0.9464,0.9996
4,chain,50369,8745,10944,58313798,0.719,0.8365,0.8521,0.8215,0.9997
5,propeller,32391,17823,4850,58328792,0.5882,0.7407,0.6451,0.8698,0.9996
6,tire,69051,105000,64861,58144944,0.289,0.4484,0.3967,0.5156,0.9971
7,hook,76868,3367,12064,58291557,0.8328,0.9088,0.958,0.8643,0.9997
8,valve,26750,87331,10926,58258849,0.214,0.3525,0.2345,0.71,0.9983
9,shampoo-bottle,35690,31070,4950,58312146,0.4977,0.6646,0.5346,0.8782,0.9994
10,standing-bottle,1291,16164,5629,58360772,0.0559,0.1059,0.074,0.1866,0.9996
