class_id,class_name,TP,FP,FN,TN,iou,dice,precision,recall,accuracy
0,mine,11544,11028,12,58361272,0.5112,0.6765,0.5114,0.999,0.9998
1,can,79267,32074,6445,58266070,0.673,0.8045,0.7119,0.9248,0.9993
2,bottle,75114,72029,32135,58204578,0.419,0.5905,0.5105,0.7004,0.9982
3,drink-carton,60733,22817,3843,58296463,0.6949,0.82,0.7269,0.9405,0.9995
4,chain,44114,13247,11166,58315329,0.6437,0.7833,0.7691,0.798,0.9996
5,propeller,32724,17735,4991,58328406,0.5902,0.7423,0.6485,0.8677,0.9996
6,tire,69343,110118,59700,58144695,0.2899,0.4495,0.3864,0.5374,0.9971
7,hook,79102,3628,12469,58288657,0.8309,0.9076,0.9561,0.8638,0.9997
8,valve,28544,86747,10136,58258429,0.2276,0.3708,0.2476,0.738,0.9983
9,shampoo-bottle,35665,32100,3405,58312686,0.5011,0.6677,0.5263,0.9128,0.9994
10,standing-bottle,1594,15320,6024,58360918,0.0695,0.13,0.0942,0.2092,0.9996
