2026-08-01 07:57:45 | INFO | === Pseudo-GT Mask Generation: yolov11_m_samhq ===
2026-08-01 07:57:45 | INFO | YOLO weights : /mnt/DATA/EE25M305/Sonar_Vision/run/train/sonar_yolov11_m/weights/best.pt
2026-08-01 07:57:45 | INFO | SAM-HQ ckpt  : /mnt/DATA/EE25M305/Sonar_Vision/sam-hq/checkpoints/sam_hq_vit_l.pth  (type=vit_l)
2026-08-01 07:57:45 | INFO | Source       : /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/images/test
2026-08-01 07:57:45 | INFO | conf=0.2  iou=0.45  imgsz=640  device=cuda  save_polygons=True
2026-08-01 07:57:45 | INFO | YOLO loaded. Classes: {0: 'mine', 1: 'can', 2: 'bottle', 3: 'drink-carton', 4: 'chain', 5: 'propeller', 6: 'tire', 7: 'hook', 8: 'valve', 9: 'shampoo-bottle', 10: 'standing-bottle'}
2026-08-01 07:57:50 | INFO | SAM-HQ loaded.
2026-08-01 07:57:50 | INFO | Found 206 test images.
2026-08-01 07:57:51 | INFO | [1/206] marine_marine-debris-aris3k-1009.png -> 1 instance(s) | 1202.2 ms
2026-08-01 07:57:51 | INFO | [2/206] marine_marine-debris-aris3k-1018.png -> 1 instance(s) | 419.2 ms
2026-08-01 07:57:52 | INFO | [3/206] marine_marine-debris-aris3k-1043.png -> 1 instance(s) | 469.9 ms
2026-08-01 07:57:52 | INFO | [4/206] marine_marine-debris-aris3k-1046.png -> 1 instance(s) | 422.6 ms
2026-08-01 07:57:53 | INFO | [5/206] marine_marine-debris-aris3k-1052.png -> 1 instance(s) | 418.4 ms
2026-08-01 07:57:53 | INFO | [6/206] marine_marine-debris-aris3k-1056.png -> 2 instance(s) | 428.1 ms
2026-08-01 07:57:54 | INFO | [7/206] marine_marine-debris-aris3k-1077.png -> 1 instance(s) | 419.5 ms
2026-08-01 07:57:54 | INFO | [8/206] marine_marine-debris-aris3k-1081.png -> 2 instance(s) | 432.4 ms
2026-08-01 07:57:55 | INFO | [9/206] marine_marine-debris-aris3k-1084.png -> 1 instance(s) | 419.9 ms
2026-08-01 07:57:55 | INFO | [10/206] marine_marine-debris-aris3k-110.png -> 0 detections | 14.7 ms
2026-08-01 07:57:55 | INFO | [11/206] marine_marine-debris-aris3k-1114.png -> 0 detections | 14.6 ms
2026-08-01 07:57:55 | INFO | [12/206] marine_marine-debris-aris3k-1119.png -> 1 instance(s) | 419.5 ms
2026-08-01 07:57:56 | INFO | [13/206] marine_marine-debris-aris3k-1125.png -> 2 instance(s) | 432.2 ms
2026-08-01 07:57:56 | INFO | [14/206] marine_marine-debris-aris3k-1129.png -> 1 instance(s) | 417.5 ms
2026-08-01 07:57:56 | INFO | [15/206] marine_marine-debris-aris3k-1142.png -> 1 instance(s) | 418.4 ms
2026-08-01 07:57:57 | INFO | [16/206] marine_marine-debris-aris3k-1144.png -> 1 instance(s) | 417.9 ms
2026-08-01 07:57:57 | INFO | [17/206] marine_marine-debris-aris3k-1158.png -> 1 instance(s) | 418.0 ms
2026-08-01 07:57:58 | INFO | [18/206] marine_marine-debris-aris3k-1165.png -> 1 instance(s) | 419.0 ms
2026-08-01 07:57:58 | INFO | [19/206] marine_marine-debris-aris3k-1168.png -> 1 instance(s) | 419.6 ms
2026-08-01 07:57:59 | INFO | [20/206] marine_marine-debris-aris3k-117.png -> 1 instance(s) | 424.9 ms
2026-08-01 07:57:59 | INFO | [21/206] marine_marine-debris-aris3k-1176.png -> 3 instance(s) | 445.5 ms
2026-08-01 07:58:00 | INFO | [22/206] marine_marine-debris-aris3k-1183.png -> 1 instance(s) | 421.6 ms
2026-08-01 07:58:00 | INFO | [23/206] marine_marine-debris-aris3k-1186.png -> 1 instance(s) | 421.7 ms
2026-08-01 07:58:00 | INFO | [24/206] marine_marine-debris-aris3k-12.png -> 1 instance(s) | 425.0 ms
