2026-08-01 07:53:41 | INFO | === Pseudo-GT Mask Generation: yolov11_n_samhq ===
2026-08-01 07:53:41 | INFO | YOLO weights : /mnt/DATA/EE25M305/Sonar_Vision/run/train/sonar_yolov11_n/weights/best.pt
2026-08-01 07:53:41 | INFO | SAM-HQ ckpt  : /mnt/DATA/EE25M305/Sonar_Vision/sam-hq/checkpoints/sam_hq_vit_l.pth  (type=vit_l)
2026-08-01 07:53:41 | INFO | Source       : /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/images/test
2026-08-01 07:53:41 | INFO | conf=0.2  iou=0.45  imgsz=640  device=cuda  save_polygons=True
2026-08-01 07:53:41 | INFO | YOLO loaded. Classes: {0: 'mine', 1: 'can', 2: 'bottle', 3: 'drink-carton', 4: 'chain', 5: 'propeller', 6: 'tire', 7: 'hook', 8: 'valve', 9: 'shampoo-bottle', 10: 'standing-bottle'}
2026-08-01 07:53:47 | INFO | SAM-HQ loaded.
2026-08-01 07:53:47 | INFO | Found 206 test images.
2026-08-01 07:53:48 | INFO | [1/206] marine_marine-debris-aris3k-1009.png -> 1 instance(s) | 1321.9 ms
2026-08-01 07:53:48 | INFO | [2/206] marine_marine-debris-aris3k-1018.png -> 1 instance(s) | 409.1 ms
2026-08-01 07:53:49 | INFO | [3/206] marine_marine-debris-aris3k-1043.png -> 1 instance(s) | 462.1 ms
2026-08-01 07:53:49 | INFO | [4/206] marine_marine-debris-aris3k-1046.png -> 1 instance(s) | 410.8 ms
2026-08-01 07:53:50 | INFO | [5/206] marine_marine-debris-aris3k-1052.png -> 1 instance(s) | 407.5 ms
2026-08-01 07:53:50 | INFO | [6/206] marine_marine-debris-aris3k-1056.png -> 2 instance(s) | 415.4 ms
2026-08-01 07:53:51 | INFO | [7/206] marine_marine-debris-aris3k-1077.png -> 1 instance(s) | 410.4 ms
2026-08-01 07:53:51 | INFO | [8/206] marine_marine-debris-aris3k-1081.png -> 3 instance(s) | 429.3 ms
2026-08-01 07:53:52 | INFO | [9/206] marine_marine-debris-aris3k-1084.png -> 1 instance(s) | 406.5 ms
2026-08-01 07:53:52 | INFO | [10/206] marine_marine-debris-aris3k-110.png -> 2 instance(s) | 422.6 ms
2026-08-01 07:53:52 | INFO | [11/206] marine_marine-debris-aris3k-1114.png -> 2 instance(s) | 424.1 ms
2026-08-01 07:53:53 | INFO | [12/206] marine_marine-debris-aris3k-1119.png -> 1 instance(s) | 413.1 ms
2026-08-01 07:53:53 | INFO | [13/206] marine_marine-debris-aris3k-1125.png -> 2 instance(s) | 419.0 ms
