2026-08-01 07:55:45 | INFO | === Pseudo-GT Mask Generation: yolov11_s_samhq ===
2026-08-01 07:55:45 | INFO | YOLO weights : /mnt/DATA/EE25M305/Sonar_Vision/run/train/sonar_yolov11_s/weights/best.pt
2026-08-01 07:55:45 | INFO | SAM-HQ ckpt  : /mnt/DATA/EE25M305/Sonar_Vision/sam-hq/checkpoints/sam_hq_vit_l.pth  (type=vit_l)
2026-08-01 07:55:45 | INFO | Source       : /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/images/test
2026-08-01 07:55:45 | INFO | conf=0.2  iou=0.45  imgsz=640  device=cuda  save_polygons=True
2026-08-01 07:55:45 | INFO | YOLO loaded. Classes: {0: 'mine', 1: 'can', 2: 'bottle', 3: 'drink-carton', 4: 'chain', 5: 'propeller', 6: 'tire', 7: 'hook', 8: 'valve', 9: 'shampoo-bottle', 10: 'standing-bottle'}
2026-08-01 07:55:50 | INFO | SAM-HQ loaded.
2026-08-01 07:55:50 | INFO | Found 206 test images.
2026-08-01 07:55:51 | INFO | [1/206] marine_marine-debris-aris3k-1009.png -> 1 instance(s) | 1248.0 ms
2026-08-01 07:55:52 | INFO | [2/206] marine_marine-debris-aris3k-1018.png -> 1 instance(s) | 413.0 ms
2026-08-01 07:55:52 | INFO | [3/206] marine_marine-debris-aris3k-1043.png -> 1 instance(s) | 471.2 ms
2026-08-01 07:55:53 | INFO | [4/206] marine_marine-debris-aris3k-1046.png -> 1 instance(s) | 413.5 ms
2026-08-01 07:55:53 | INFO | [5/206] marine_marine-debris-aris3k-1052.png -> 1 instance(s) | 414.4 ms
2026-08-01 07:55:53 | INFO | [6/206] marine_marine-debris-aris3k-1056.png -> 2 instance(s) | 421.9 ms
2026-08-01 07:55:54 | INFO | [7/206] marine_marine-debris-aris3k-1077.png -> 1 instance(s) | 414.1 ms
2026-08-01 07:55:54 | INFO | [8/206] marine_marine-debris-aris3k-1081.png -> 2 instance(s) | 426.9 ms
2026-08-01 07:55:55 | INFO | [9/206] marine_marine-debris-aris3k-1084.png -> 1 instance(s) | 414.4 ms
2026-08-01 07:55:55 | INFO | [10/206] marine_marine-debris-aris3k-110.png -> 1 instance(s) | 414.7 ms
2026-08-01 07:55:56 | INFO | [11/206] marine_marine-debris-aris3k-1114.png -> 1 instance(s) | 414.7 ms
