image,object,class,yolo_conf,sam_score,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,0,5,0.8501943349838257,0.4251556396484375,123,370,189,464
marine_marine-debris-aris3k-1018.png,0,9,0.8754103183746338,0.3769479990005493,181,296,240,491
marine_marine-debris-aris3k-1043.png,0,1,0.90569669008255,0.6776623725891113,169,292,265,396
marine_marine-debris-aris3k-1046.png,0,1,0.8963355422019958,0.831528902053833,124,242,201,310
marine_marine-debris-aris3k-1052.png,0,1,0.9075890779495239,0.8533406853675842,217,125,297,193
marine_marine-debris-aris3k-1056.png,0,2,0.9158725142478943,0.3442530333995819,141,254,220,341
marine_marine-debris-aris3k-1056.png,1,6,0.9093858599662781,0.5740435123443604,151,394,225,493
marine_marine-debris-aris3k-1077.png,0,3,0.9102450609207153,0.8807249069213867,322,385,386,444
marine_marine-debris-aris3k-1081.png,0,4,0.9154016375541687,0.7593917846679688,310,220,370,282
marine_marine-debris-aris3k-1081.png,1,3,0.8489261865615845,0.9151143431663513,153,383,223,458
marine_marine-debris-aris3k-1084.png,0,2,0.8762117624282837,0.8162255883216858,197,158,276,240
marine_marine-debris-aris3k-1119.png,0,10,0.8671396374702454,0.2804349660873413,179,269,220,459
marine_marine-debris-aris3k-1125.png,0,2,0.9000464081764221,0.756926953792572,124,408,188,511
marine_marine-debris-aris3k-1125.png,1,2,0.874450147151947,0.5595033764839172,183,214,232,305
marine_marine-debris-aris3k-1129.png,0,1,0.8961459398269653,0.6038238406181335,162,444,213,509
marine_marine-debris-aris3k-1142.png,0,1,0.8870156407356262,0.6632816791534424,182,445,235,511
marine_marine-debris-aris3k-1144.png,0,3,0.8111611604690552,0.7012345790863037,243,340,280,382
marine_marine-debris-aris3k-1158.png,0,3,0.8715503811836243,0.7422484159469604,193,276,238,329
marine_marine-debris-aris3k-1165.png,0,3,0.8690298795700073,0.6304064393043518,176,303,220,354
marine_marine-debris-aris3k-1168.png,0,1,0.8865525126457214,0.6058874130249023,114,477,165,529
marine_marine-debris-aris3k-117.png,0,1,0.897734522819519,0.8826048970222473,208,187,291,269
marine_marine-debris-aris3k-1176.png,0,6,0.8900951147079468,0.12736964225769043,104,412,175,498
marine_marine-debris-aris3k-1176.png,1,8,0.8752689957618713,0.594219446182251,204,146,297,243
marine_marine-debris-aris3k-1176.png,2,2,0.8725443482398987,0.722059428691864,76,268,143,359
marine_marine-debris-aris3k-1183.png,0,3,0.5272069573402405,0.7814604043960571,266,317,329,394
marine_marine-debris-aris3k-1186.png,0,1,0.8871336579322815,0.4603436291217804,191,453,244,521
marine_marine-debris-aris3k-12.png,0,7,0.90763258934021,0.7609426379203796,103,290,253,384
marine_marine-debris-aris3k-1202.png,0,1,0.9010545611381531,0.7294700741767883,220,245,304,324
marine_marine-debris-aris3k-1208.png,0,4,0.9235035181045532,0.806155264377594,337,200,397,261
marine_marine-debris-aris3k-1208.png,1,3,0.8638507127761841,0.8115206956863403,182,359,244,419
marine_marine-debris-aris3k-1227.png,0,6,0.9130277037620544,0.5186318159103394,126,340,200,425
marine_marine-debris-aris3k-1227.png,1,2,0.9001755118370056,0.3442414104938507,145,204,228,285
marine_marine-debris-aris3k-1252.png,0,8,0.9090842604637146,0.3813747763633728,220,233,306,323
marine_marine-debris-aris3k-1254.png,0,2,0.9059197902679443,0.6063030362129211,129,406,193,506
marine_marine-debris-aris3k-1254.png,1,2,0.8797441124916077,0.43315356969833374,192,215,242,306
marine_marine-debris-aris3k-1260.png,0,3,0.8256206512451172,0.827465832233429,238,254,299,332
marine_marine-debris-aris3k-128.png,0,4,0.9392974376678467,0.8130324482917786,283,461,356,536
marine_marine-debris-aris3k-1284.png,0,6,0.9249658584594727,0.3603682518005371,120,346,194,434
marine_marine-debris-aris3k-1284.png,1,2,0.923222541809082,0.5490366220474243,138,212,222,290
marine_marine-debris-aris3k-1291.png,0,4,0.8930174112319946,0.7541716694831848,127,330,285,391
marine_marine-debris-aris3k-1292.png,0,2,0.8907690048217773,0.7634404897689819,198,155,280,237
marine_marine-debris-aris3k-1298.png,0,3,0.8707382678985596,0.70451420545578,177,296,221,348
marine_marine-debris-aris3k-1299.png,0,6,0.9156986474990845,0.049180690199136734,123,340,195,426
marine_marine-debris-aris3k-1299.png,1,2,0.9143330454826355,0.6152227520942688,140,203,225,286
marine_marine-debris-aris3k-1312.png,0,3,0.8609121441841125,0.664810299873352,159,296,201,347
marine_marine-debris-aris3k-1351.png,0,6,0.9240975379943848,0.5582279562950134,121,345,195,431
marine_marine-debris-aris3k-1351.png,1,2,0.923745334148407,0.6604904532432556,140,213,224,292
marine_marine-debris-aris3k-1364.png,0,1,0.9036078453063965,0.8926392793655396,128,247,204,313
marine_marine-debris-aris3k-1384.png,0,8,0.8889647126197815,0.38503172993659973,229,226,311,313
marine_marine-debris-aris3k-1387.png,0,3,0.8714621067047119,0.6109293699264526,176,301,220,353
marine_marine-debris-aris3k-139.png,0,2,0.9005051255226135,0.5902917981147766,227,212,310,291
marine_marine-debris-aris3k-139.png,1,6,0.8730704188346863,0.5981014370918274,195,354,273,435
marine_marine-debris-aris3k-1394.png,0,6,0.9248270988464355,0.8101170659065247,232,352,357,474
marine_marine-debris-aris3k-1394.png,1,7,0.8998311758041382,0.8360488414764404,172,198,317,304
marine_marine-debris-aris3k-140.png,0,6,0.9233558177947998,0.6216294169425964,126,345,202,433
marine_marine-debris-aris3k-140.png,1,2,0.9132135510444641,0.771090567111969,142,212,227,291
marine_marine-debris-aris3k-1401.png,0,3,0.8326133489608765,0.859807014465332,115,425,157,468
marine_marine-debris-aris3k-1403.png,0,2,0.9166140556335449,0.7336425185203552,174,242,257,318
marine_marine-debris-aris3k-1403.png,1,6,0.6329517364501953,0.70123291015625,151,376,224,457
marine_marine-debris-aris3k-1409.png,0,1,0.8839694857597351,0.44059935212135315,234,281,319,366
marine_marine-debris-aris3k-1417.png,0,2,0.9094027876853943,0.43747246265411377,206,210,287,292
marine_marine-debris-aris3k-142.png,0,8,0.9109954237937927,0.5222813487052917,114,201,189,293
marine_marine-debris-aris3k-1426.png,0,2,0.8828157782554626,0.5679198503494263,84,195,134,288
marine_marine-debris-aris3k-1426.png,1,8,0.8293672204017639,0.8383756875991821,218,322,300,411
marine_marine-debris-aris3k-1449.png,0,3,0.8677375316619873,0.6761919856071472,153,295,197,348
