image,object,class,yolo_conf,sam_score,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,0,5,0.9150692224502563,0.40489670634269714,119,368,186,467
marine_marine-debris-aris3k-1018.png,0,9,0.9161405563354492,0.4143979549407959,180,299,242,490
marine_marine-debris-aris3k-1043.png,0,1,0.9093701839447021,0.7284840941429138,168,294,263,397
marine_marine-debris-aris3k-1046.png,0,1,0.9097744226455688,0.8163637518882751,125,242,202,310
marine_marine-debris-aris3k-1052.png,0,1,0.9191139936447144,0.8536707758903503,216,126,297,194
marine_marine-debris-aris3k-1056.png,0,2,0.9079979658126831,0.33577069640159607,141,250,220,342
marine_marine-debris-aris3k-1056.png,1,6,0.9060345888137817,0.46515339612960815,151,397,225,495
marine_marine-debris-aris3k-1077.png,0,3,0.9086429476737976,0.8822389841079712,321,385,384,445
marine_marine-debris-aris3k-1081.png,0,3,0.8952784538269043,0.9228846430778503,154,387,221,458
marine_marine-debris-aris3k-1081.png,1,4,0.8945317268371582,0.755352258682251,307,218,369,284
marine_marine-debris-aris3k-1084.png,0,2,0.9152871966362,0.8121505379676819,194,156,276,240
marine_marine-debris-aris3k-110.png,0,4,0.7735239267349243,0.61922687292099,292,198,359,266
marine_marine-debris-aris3k-110.png,1,4,0.5477272272109985,0.6470474600791931,298,212,359,270
marine_marine-debris-aris3k-1114.png,0,4,0.8210713267326355,0.7831322550773621,208,112,271,173
marine_marine-debris-aris3k-1119.png,0,10,0.8614122867584229,0.2522698640823364,176,273,219,458
marine_marine-debris-aris3k-1125.png,0,2,0.9082054495811462,0.7621670961380005,120,408,187,514
marine_marine-debris-aris3k-1125.png,1,2,0.8954405784606934,0.5424461960792542,182,215,233,304
marine_marine-debris-aris3k-1129.png,0,1,0.9054115414619446,0.600456953048706,160,442,213,509
marine_marine-debris-aris3k-1142.png,0,1,0.8944560885429382,0.6468223333358765,183,445,237,512
marine_marine-debris-aris3k-1144.png,0,3,0.8289303779602051,0.5334928631782532,246,342,281,381
marine_marine-debris-aris3k-1158.png,0,3,0.859146773815155,0.7260627150535583,194,277,238,330
marine_marine-debris-aris3k-1165.png,0,3,0.8980319499969482,0.6341304779052734,177,303,219,354
marine_marine-debris-aris3k-1168.png,0,1,0.8998547792434692,0.6035659313201904,114,476,166,530
marine_marine-debris-aris3k-117.png,0,1,0.9179450869560242,0.8589940071105957,208,183,291,268
marine_marine-debris-aris3k-1176.png,0,8,0.9032003879547119,0.5960022807121277,202,144,296,237
marine_marine-debris-aris3k-1176.png,1,6,0.8996890187263489,0.050450000911951065,103,410,173,496
