epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5829,2.47362,5.64227,2.45307,0.76661,0.08143,0.1053,0.04778,2.76563,18.2159,2.50853,0.000215794,0.000215794,0.000215794
2,29.8076,1.53769,1.75723,1.69845,0.839,0.16811,0.21066,0.10031,2.58501,3.54832,2.32567,0.00043379,0.00043379,0.00043379
3,48.7211,1.485,1.36375,1.66562,0.35052,0.23801,0.16917,0.08379,1.72942,8.27321,2.07539,0.000647384,0.000647384,0.000647384
4,63.4146,1.41899,1.23222,1.64219,0.37771,0.02431,0.02606,0.00771,2.85586,8.73792,4.09288,0.00064719,0.00064719,0.00064719
5,79.0414,1.3539,1.0955,1.57846,0.65148,0.1649,0.18407,0.07294,2.18755,3.60458,2.94979,0.000640587,0.000640587,0.000640587
6,93.7905,1.30236,0.95278,1.54264,0.82629,0.58405,0.70894,0.39416,1.19819,1.76314,1.47189,0.000633983,0.000633983,0.000633983
7,110.436,1.27062,0.91451,1.47888,0.65458,0.6753,0.72056,0.3786,1.39841,1.7269,1.66833,0.00062738,0.00062738,0.00062738
8,124.84,1.21162,0.83259,1.44542,0.76245,0.89503,0.91668,0.57033,0.96182,1.06801,1.20338,0.000620777,0.000620777,0.000620777
9,141.942,1.18593,0.75934,1.44402,0.90168,0.80431,0.89488,0.54906,1.03526,0.81412,1.27476,0.000614174,0.000614174,0.000614174
10,156.319,1.15393,0.77819,1.42813,0.78991,0.68914,0.79154,0.42072,1.30842,1.26254,1.48376,0.00060757,0.00060757,0.00060757
11,172.313,1.12979,0.70993,1.38596,0.81386,0.84877,0.88418,0.51087,1.1793,0.6908,1.38196,0.000600967,0.000600967,0.000600967
12,187.057,1.09394,0.6919,1.35545,0.61697,0.45426,0.50581,0.23644,1.84002,1.73207,2.07222,0.000594364,0.000594364,0.000594364
13,202.835,1.04768,0.68109,1.33416,0.80852,0.76392,0.85054,0.49603,1.21399,1.22137,1.39569,0.00058776,0.00058776,0.00058776
14,217.647,1.0431,0.63135,1.32945,0.9006,0.93097,0.97261,0.64606,0.89856,0.47416,1.1467,0.000581157,0.000581157,0.000581157
15,234.456,1.0317,0.6471,1.31409,0.87405,0.93629,0.94632,0.58929,1.05449,0.54467,1.29013,0.000574554,0.000574554,0.000574554
16,249.248,0.98682,0.59629,1.2989,0.65079,0.466,0.50283,0.21322,1.7976,1.46576,2.20066,0.00056795,0.00056795,0.00056795
17,264.142,0.96603,0.58377,1.25776,0.89664,0.85932,0.93414,0.57728,1.0468,0.575,1.32457,0.000561347,0.000561347,0.000561347
