epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1833,2.60742,5.88136,2.22131,0.00617,0.47446,0.06375,0.0293,1.5938,4.22324,1.3144,0.000215794,0.000215794,0.000215794
2,21.4372,1.75063,3.91088,1.52652,0.00199,0.57607,0.16044,0.07146,1.34802,3.95874,1.19183,0.00043379,0.00043379,0.00043379
3,29.3045,1.58698,2.63824,1.44388,0.92479,0.09839,0.35574,0.18404,1.25005,3.34874,1.11957,0.000647384,0.000647384,0.000647384
4,36.7266,1.52346,2.07087,1.43243,0.62857,0.48134,0.57739,0.34019,1.2044,2.36875,1.1485,0.00064719,0.00064719,0.00064719
5,44.1406,1.38427,1.64278,1.35067,0.82463,0.62085,0.82197,0.45083,1.21283,1.48604,1.18588,0.000640587,0.000640587,0.000640587
6,51.6055,1.29218,1.32036,1.30821,0.84901,0.54635,0.70687,0.38568,1.23066,1.46579,1.1391,0.000633983,0.000633983,0.000633983
7,59.0907,1.30468,1.22288,1.30781,0.794,0.833,0.92342,0.56155,1.02629,0.97652,1.02715,0.00062738,0.00062738,0.00062738
8,66.7513,1.20617,1.02849,1.24838,0.86924,0.7763,0.91146,0.53284,1.16748,0.92425,1.15842,0.000620777,0.000620777,0.000620777
9,74.0025,1.17131,0.93629,1.21596,0.89305,0.85928,0.9528,0.57544,1.0411,0.77178,1.04758,0.000614174,0.000614174,0.000614174
10,81.4276,1.15835,0.91726,1.22595,0.84685,0.80577,0.87262,0.53363,1.0449,0.89889,1.03287,0.00060757,0.00060757,0.00060757
11,88.5395,1.11962,0.84168,1.18988,0.89291,0.83709,0.93426,0.56824,1.04131,0.7534,1.04999,0.000600967,0.000600967,0.000600967
12,96.1757,1.11727,0.83049,1.20435,0.90171,0.89761,0.94477,0.59927,0.93214,0.63534,0.96707,0.000594364,0.000594364,0.000594364
13,104.152,1.04409,0.79828,1.15387,0.9023,0.82665,0.91489,0.58267,0.97662,0.70214,1.01676,0.00058776,0.00058776,0.00058776
14,111.754,1.06091,0.73225,1.15536,0.9135,0.90574,0.95417,0.62583,0.94011,0.59312,0.97045,0.000581157,0.000581157,0.000581157
15,119.188,1.04222,0.75806,1.13664,0.9242,0.86971,0.96214,0.63599,0.95588,0.62256,0.98319,0.000574554,0.000574554,0.000574554
16,126.638,1.00796,0.68656,1.13395,0.93364,0.88401,0.96592,0.66302,0.85131,0.53058,0.9237,0.00056795,0.00056795,0.00056795
17,134.166,1.00201,0.67456,1.10417,0.88087,0.94565,0.97654,0.63597,0.95206,0.59327,0.97988,0.000561347,0.000561347,0.000561347
18,141.186,0.97691,0.67166,1.10644,0.91039,0.91642,0.96606,0.60138,1.00026,0.56895,0.99346,0.000554744,0.000554744,0.000554744
19,148.397,0.96307,0.63327,1.11362,0.89367,0.75592,0.84265,0.42411,1.35972,0.919,1.22845,0.000548141,0.000548141,0.000548141
20,155.543,0.97394,0.6083,1.12544,0.95765,0.92541,0.98146,0.69633,0.78949,0.49321,0.88038,0.000541537,0.000541537,0.000541537
21,163.04,0.92115,0.60546,1.0702,0.95643,0.97908,0.99152,0.68516,0.84518,0.45856,0.93718,0.000534934,0.000534934,0.000534934
22,170.29,0.91057,0.60558,1.07991,0.93304,0.87849,0.97083,0.645,0.90737,0.53903,0.94309,0.000528331,0.000528331,0.000528331
23,177.492,0.9263,0.58834,1.08239,0.93799,0.92978,0.97739,0.60688,1.05618,0.526,1.05876,0.000521727,0.000521727,0.000521727
24,184.707,0.91922,0.57243,1.08195,0.91234,0.94432,0.98463,0.67548,0.92891,0.47377,0.97182,0.000515124,0.000515124,0.000515124
25,192.234,0.90905,0.56526,1.06669,0.96097,0.96254,0.98907,0.64623,0.9946,0.49038,1.00849,0.000508521,0.000508521,0.000508521
26,199.432,0.90498,0.56213,1.05578,0.91024,0.96242,0.98282,0.67314,0.85368,0.46371,0.90434,0.000501917,0.000501917,0.000501917
27,206.576,0.89639,0.55331,1.05046,0.97994,0.97859,0.98827,0.68852,0.81492,0.41947,0.88761,0.000495314,0.000495314,0.000495314
28,213.706,0.90145,0.53538,1.06946,0.96173,0.9541,0.98748,0.70496,0.79062,0.4204,0.87468,0.000488711,0.000488711,0.000488711
29,221.1,0.89302,0.54495,1.06468,0.94908,0.96813,0.98461,0.66513,0.83006,0.45655,0.89756,0.000482108,0.000482108,0.000482108
30,228.376,0.8578,0.53633,1.03865,0.91582,0.90979,0.97198,0.67223,0.81574,0.48967,0.90508,0.000475504,0.000475504,0.000475504
31,235.406,0.88901,0.53613,1.05141,0.97385,0.91003,0.98327,0.6671,0.87388,0.45289,0.91943,0.000468901,0.000468901,0.000468901
32,242.652,0.86062,0.52087,1.04354,0.96036,0.95177,0.98718,0.69573,0.82912,0.42353,0.90829,0.000462298,0.000462298,0.000462298
33,249.783,0.86719,0.51621,1.04396,0.94161,0.93344,0.97754,0.6708,0.91344,0.44538,0.96495,0.000455694,0.000455694,0.000455694
34,256.934,0.82283,0.4933,1.01321,0.95325,0.93657,0.98456,0.6584,0.91305,0.44925,0.9579,0.000449091,0.000449091,0.000449091
35,264.02,0.81008,0.50535,1.01177,0.94884,0.98086,0.99094,0.72125,0.75888,0.38078,0.86105,0.000442488,0.000442488,0.000442488
36,271.85,0.81742,0.49689,1.01508,0.97281,0.97252,0.99107,0.71408,0.8163,0.39293,0.89866,0.000435884,0.000435884,0.000435884
37,279.228,0.81008,0.4786,1.02258,0.97695,0.98219,0.99067,0.71958,0.77627,0.374,0.8768,0.000429281,0.000429281,0.000429281
38,286.545,0.79509,0.47814,1.02259,0.98042,0.98439,0.99262,0.6923,0.87718,0.38608,0.92131,0.000422678,0.000422678,0.000422678
39,293.854,0.78411,0.46532,1.01334,0.96899,0.95671,0.98959,0.6845,0.86978,0.4059,0.92513,0.000416075,0.000416075,0.000416075
40,300.996,0.78002,0.45588,1.00084,0.95293,0.98811,0.99094,0.7253,0.7658,0.3718,0.86934,0.000409471,0.000409471,0.000409471
41,308.201,0.78044,0.45862,0.99563,0.97061,0.98362,0.99052,0.67288,0.9187,0.408,0.97748,0.000402868,0.000402868,0.000402868
42,315.35,0.77964,0.44572,0.99503,0.95005,0.93705,0.96792,0.64324,0.99058,0.44322,1.01466,0.000396265,0.000396265,0.000396265
43,322.478,0.80354,0.4704,1.01514,0.97117,0.96905,0.98838,0.6655,0.94076,0.41736,0.98867,0.000389661,0.000389661,0.000389661
44,329.516,0.76342,0.44965,0.992,0.97538,0.97601,0.98611,0.71955,0.76871,0.36576,0.87349,0.000383058,0.000383058,0.000383058
45,336.624,0.78433,0.4655,0.99593,0.97199,0.96925,0.98973,0.71079,0.8266,0.37594,0.91144,0.000376455,0.000376455,0.000376455
46,343.659,0.74947,0.457,0.97658,0.96739,0.98234,0.9908,0.74898,0.71423,0.35384,0.8406,0.000369851,0.000369851,0.000369851
47,350.82,0.74273,0.43034,0.97471,0.97189,0.97333,0.99235,0.70673,0.87399,0.39009,0.94318,0.000363248,0.000363248,0.000363248
48,358.014,0.74738,0.44704,0.97647,0.91669,0.93607,0.96143,0.60273,1.06462,0.47688,1.06289,0.000356645,0.000356645,0.000356645
49,365.665,0.74347,0.42324,0.98416,0.96621,0.96125,0.9907,0.73112,0.77943,0.36885,0.89149,0.000350042,0.000350042,0.000350042
50,372.857,0.72444,0.43403,0.96934,0.97059,0.98802,0.99161,0.74821,0.71783,0.33593,0.84236,0.000343438,0.000343438,0.000343438
51,379.923,0.7261,0.41768,0.98422,0.97266,0.97801,0.99296,0.72499,0.74568,0.35535,0.86032,0.000336835,0.000336835,0.000336835
52,386.925,0.71985,0.40967,0.97449,0.97006,0.98112,0.99055,0.73896,0.79167,0.36269,0.89096,0.000330232,0.000330232,0.000330232
53,394.085,0.70285,0.41118,0.96081,0.98718,0.9798,0.99394,0.70735,0.80493,0.35885,0.88912,0.000323628,0.000323628,0.000323628
54,401.208,0.73143,0.42226,0.98511,0.964,0.98057,0.99376,0.72524,0.77283,0.34902,0.87097,0.000317025,0.000317025,0.000317025
55,408.332,0.71894,0.42089,0.96879,0.97705,0.98822,0.99041,0.73799,0.74152,0.34216,0.86586,0.000310422,0.000310422,0.000310422
56,415.495,0.71137,0.42176,0.96718,0.97499,0.98172,0.99116,0.71863,0.82935,0.3595,0.91507,0.000303818,0.000303818,0.000303818
57,422.573,0.69448,0.40336,0.96539,0.97767,0.98011,0.99143,0.69837,0.86311,0.37041,0.93063,0.000297215,0.000297215,0.000297215
58,429.803,0.65709,0.40562,0.93706,0.98549,0.9734,0.99229,0.72839,0.77831,0.34953,0.88088,0.000290612,0.000290612,0.000290612
59,437.014,0.66953,0.38899,0.94454,0.97663,0.97113,0.99354,0.723,0.80114,0.3507,0.91028,0.000284009,0.000284009,0.000284009
60,444.137,0.68374,0.40273,0.96664,0.98025,0.98349,0.99163,0.72967,0.76438,0.34657,0.87472,0.000277405,0.000277405,0.000277405
61,451.313,0.66884,0.38306,0.94604,0.97439,0.97686,0.99227,0.69732,0.85081,0.36017,0.92921,0.000270802,0.000270802,0.000270802
62,458.527,0.66313,0.3938,0.95026,0.97219,0.98162,0.99228,0.74103,0.75156,0.32987,0.86406,0.000264199,0.000264199,0.000264199
63,465.629,0.65198,0.38767,0.94267,0.98166,0.98806,0.99391,0.71995,0.77417,0.33086,0.88023,0.000257595,0.000257595,0.000257595
64,472.723,0.63884,0.37776,0.94442,0.97985,0.99583,0.99393,0.75452,0.6949,0.3073,0.83377,0.000250992,0.000250992,0.000250992
65,480.045,0.65416,0.38683,0.94473,0.97874,0.97966,0.99137,0.72009,0.79284,0.33527,0.91317,0.000244389,0.000244389,0.000244389
66,486.937,0.6406,0.37382,0.92857,0.9724,0.99369,0.99237,0.74885,0.71586,0.31389,0.86255,0.000237785,0.000237785,0.000237785
67,493.974,0.67293,0.40518,0.94709,0.97653,0.98597,0.99272,0.7531,0.69348,0.2997,0.83872,0.000231182,0.000231182,0.000231182
68,501.13,0.62956,0.36966,0.94029,0.98003,0.98536,0.99426,0.75132,0.72451,0.31355,0.85211,0.000224579,0.000224579,0.000224579
69,508.262,0.6281,0.37045,0.9268,0.97472,0.98069,0.99242,0.74571,0.74042,0.32285,0.86665,0.000217976,0.000217976,0.000217976
70,515.309,0.61994,0.36763,0.93098,0.98302,0.9831,0.99334,0.7067,0.85021,0.3515,0.93477,0.000211372,0.000211372,0.000211372
71,522.211,0.62331,0.37065,0.93011,0.97474,0.98502,0.99368,0.75524,0.68182,0.30606,0.82765,0.000204769,0.000204769,0.000204769
72,529.626,0.63306,0.3637,0.93193,0.97279,0.99007,0.99268,0.75121,0.68272,0.31195,0.83005,0.000198166,0.000198166,0.000198166
73,536.783,0.61247,0.3444,0.91181,0.97993,0.97065,0.99444,0.74381,0.73826,0.32687,0.85401,0.000191562,0.000191562,0.000191562
74,544.002,0.6154,0.3653,0.92353,0.97825,0.97351,0.99313,0.74793,0.72582,0.31485,0.86204,0.000184959,0.000184959,0.000184959
75,550.912,0.61064,0.36054,0.91506,0.98061,0.98213,0.9947,0.75468,0.71359,0.30708,0.84518,0.000178356,0.000178356,0.000178356
76,558.143,0.61615,0.36174,0.92122,0.98363,0.96731,0.99315,0.75008,0.71403,0.31361,0.85023,0.000171752,0.000171752,0.000171752
77,564.986,0.58937,0.34372,0.90648,0.98557,0.98606,0.99414,0.76605,0.68589,0.29709,0.83948,0.000165149,0.000165149,0.000165149
78,572.243,0.5842,0.34233,0.90301,0.97812,0.9906,0.99339,0.76683,0.68781,0.29371,0.83267,0.000158546,0.000158546,0.000158546
79,579.529,0.5666,0.32875,0.88883,0.98043,0.99117,0.99338,0.75028,0.72332,0.30363,0.86002,0.000151943,0.000151943,0.000151943
80,586.773,0.58723,0.33831,0.90979,0.9713,0.99478,0.99263,0.76158,0.69175,0.29714,0.83808,0.000145339,0.000145339,0.000145339
81,594.018,0.5905,0.34898,0.91103,0.97459,0.97996,0.99295,0.75183,0.71588,0.30327,0.8518,0.000138736,0.000138736,0.000138736
82,601.42,0.56658,0.33268,0.90275,0.98158,0.98272,0.99414,0.76041,0.68159,0.29717,0.83249,0.000132133,0.000132133,0.000132133
83,608.456,0.56133,0.33327,0.88923,0.98052,0.99013,0.99279,0.76371,0.70172,0.29869,0.84607,0.000125529,0.000125529,0.000125529
84,615.203,0.54366,0.32321,0.8959,0.98365,0.97968,0.99426,0.76718,0.67967,0.29508,0.83095,0.000118926,0.000118926,0.000118926
85,622.563,0.55124,0.32055,0.89531,0.97532,0.99291,0.99361,0.77331,0.65926,0.28512,0.82231,0.000112323,0.000112323,0.000112323
86,630.268,0.54178,0.319,0.88578,0.97758,0.99441,0.99372,0.77614,0.66039,0.2878,0.82248,0.00010572,0.00010572,0.00010572
87,637.668,0.55252,0.32332,0.89019,0.98184,0.96866,0.9931,0.75758,0.70366,0.29921,0.855,9.91162e-05,9.91162e-05,9.91162e-05
88,644.772,0.54935,0.33007,0.89962,0.97094,0.98791,0.99367,0.76229,0.68519,0.28704,0.83756,9.25129e-05,9.25129e-05,9.25129e-05
89,651.73,0.54146,0.31632,0.89629,0.973,0.98908,0.99363,0.76101,0.69899,0.29526,0.84859,8.59096e-05,8.59096e-05,8.59096e-05
90,658.676,0.54713,0.32907,0.8973,0.97457,0.96413,0.99335,0.75503,0.71499,0.30151,0.86531,7.93063e-05,7.93063e-05,7.93063e-05
91,667.858,0.48366,0.26968,0.87805,0.97755,0.98793,0.99335,0.75396,0.72921,0.29926,0.87108,7.2703e-05,7.2703e-05,7.2703e-05
92,675.078,0.4783,0.2664,0.8671,0.97352,0.991,0.99363,0.76325,0.70196,0.29231,0.85748,6.60997e-05,6.60997e-05,6.60997e-05
93,682.007,0.47034,0.26206,0.87029,0.9763,0.98744,0.99406,0.75032,0.7357,0.29624,0.87767,5.94964e-05,5.94964e-05,5.94964e-05
94,689.003,0.47153,0.26673,0.86178,0.97609,0.99113,0.99313,0.76385,0.68396,0.29067,0.8429,5.28931e-05,5.28931e-05,5.28931e-05
95,695.867,0.44656,0.25524,0.85579,0.97573,0.98549,0.9935,0.7573,0.70073,0.29226,0.85666,4.62898e-05,4.62898e-05,4.62898e-05
96,702.742,0.45084,0.25953,0.84747,0.97897,0.98707,0.99394,0.75498,0.71494,0.29306,0.86268,3.96865e-05,3.96865e-05,3.96865e-05
97,709.441,0.4443,0.25306,0.8483,0.97573,0.99515,0.9939,0.75992,0.68737,0.28463,0.84478,3.30832e-05,3.30832e-05,3.30832e-05
98,716.636,0.44707,0.25099,0.85049,0.9744,0.9937,0.9937,0.7615,0.69128,0.28542,0.85083,2.64799e-05,2.64799e-05,2.64799e-05
99,723.622,0.4391,0.25362,0.83993,0.9728,0.99336,0.99371,0.76169,0.69524,0.28666,0.85251,1.98766e-05,1.98766e-05,1.98766e-05
100,730.755,0.4336,0.25176,0.84391,0.97561,0.99274,0.99391,0.75566,0.70347,0.28555,0.85887,1.32733e-05,1.32733e-05,1.32733e-05
