epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9101,2.54161,7.10128,2.22419,0.40866,0.10562,0.13077,0.06926,1.77757,4.30068,1.40484,0.000215794,0.000215794,0.000215794
2,22.9725,1.59485,2.00732,1.4544,0.60342,0.41022,0.49436,0.2137,1.62198,2.00089,1.34704,0.00043379,0.00043379,0.00043379
3,32.9856,1.50704,1.34481,1.41143,0.95055,0.0202,0.03455,0.01292,3.26729,14.17,6.1415,0.000647384,0.000647384,0.000647384
4,42.1161,1.47435,1.16564,1.38871,0.65988,0.41377,0.3851,0.19112,1.82791,10.0408,1.80795,0.00064719,0.00064719,0.00064719
5,50.8267,1.36546,0.94735,1.31447,0.71936,0.59719,0.68101,0.34375,1.22121,1.1945,1.13958,0.000640587,0.000640587,0.000640587
6,60.8819,1.29475,0.92528,1.28705,0.77196,0.72965,0.72338,0.43658,1.143,0.90566,1.0763,0.000633983,0.000633983,0.000633983
7,71.0339,1.28989,0.89256,1.25776,0.86543,0.76975,0.88338,0.52855,1.11696,0.83099,1.05525,0.00062738,0.00062738,0.00062738
8,81.0112,1.19203,0.76808,1.21498,0.86561,0.78433,0.89204,0.51357,1.11379,0.84861,1.02086,0.000620777,0.000620777,0.000620777
9,89.865,1.17584,0.73568,1.19979,0.83444,0.75204,0.81014,0.44072,1.29942,0.91432,1.17969,0.000614174,0.000614174,0.000614174
10,98.4953,1.14727,0.71861,1.19362,0.89315,0.86593,0.92762,0.56786,1.06413,0.61441,0.99247,0.00060757,0.00060757,0.00060757
11,107.952,1.11872,0.7073,1.17032,0.85515,0.8595,0.92265,0.56615,1.01197,0.62724,0.99156,0.000600967,0.000600967,0.000600967
12,116.707,1.09227,0.66665,1.15488,0.89251,0.88154,0.92902,0.56652,1.10853,0.66026,1.04566,0.000594364,0.000594364,0.000594364
13,126.296,1.073,0.67254,1.13628,0.91776,0.92719,0.96458,0.59548,1.04895,0.52019,1.01089,0.00058776,0.00058776,0.00058776
14,136.473,1.05309,0.59884,1.13358,0.89937,0.96661,0.96672,0.65096,0.9969,0.54329,0.97738,0.000581157,0.000581157,0.000581157
15,146.564,1.06881,0.6299,1.14376,0.93212,0.88357,0.95837,0.63344,0.92166,0.45976,0.93517,0.000574554,0.000574554,0.000574554
16,155.198,1.00098,0.59745,1.10986,0.91557,0.90369,0.96202,0.57203,1.12173,0.5104,1.02367,0.00056795,0.00056795,0.00056795
17,163.867,1.0051,0.56694,1.09553,0.94039,0.97552,0.98553,0.63238,0.99401,0.45565,0.98135,0.000561347,0.000561347,0.000561347
18,172.535,0.97881,0.56821,1.08212,0.94105,0.92971,0.97476,0.62649,0.98271,0.47126,0.96769,0.000554744,0.000554744,0.000554744
19,181.157,0.96109,0.55123,1.08191,0.89207,0.90204,0.95464,0.54752,1.14616,0.53323,1.06037,0.000548141,0.000548141,0.000548141
20,189.768,0.96564,0.53735,1.07347,0.92747,0.8712,0.92254,0.56266,1.09835,0.5246,1.00889,0.000541537,0.000541537,0.000541537
21,198.797,0.91968,0.506,1.05026,0.96668,0.9719,0.99161,0.68683,0.89519,0.39167,0.89959,0.000534934,0.000534934,0.000534934
22,208.728,0.91165,0.52974,1.05122,0.94214,0.98421,0.98733,0.68694,0.85709,0.38007,0.87779,0.000528331,0.000528331,0.000528331
